"Country","Index.Year","capi","art","capcorr","labor","gdp","Overall.Score"
"Guatemala",2013,7997464608.42779,5790992,15.0905677104602,72.98,3444.15971843874,"60"
"Guatemala",2014,8777199988.6708,6005384,15.1717775824091,63.06,3689.14472473545,"61.2"
"Guatemala",2015,9027290313.35179,6154180,14.51658077124,85.69,3893.50521848131,"60.4"
"Guatemala",2016,9162741230.6181,6330012,13.8717170492479,91.55,4060.13755621218,"61.8"
"Guatemala",2017,9751667032.07525,6525645,13.6094293441422,105.53,4324.99607911366,"63"
"Guatemala",2018,10042976181.5308,6638657,13.695895256103,106.75,4352.94651790253,"63.4"
"Guatemala",2019,11096833330.345,6643821,14.3792926330737,95.12,4511.99755157656,"62.6"
"Guatemala",2020,10649478867.8586,6537776,13.7024604770989,123.82,4477.61761796418,"64"
"Guatemala",2021,13946321984.3639,6800730,16.1268614242265,124.03,4913.94712869347,"64"
"Guatemala",2022,15974290677.991,7234412,16.7041754807998,121.38,5358.08963795,"63.2"
"Mexico",1996,76556665431.4892,35164335,17.7149734982107,3945.12,4674.36792733681,"61.2"
"Mexico",1997,101521985588.107,36801588,19.394799246083,4350.81,5567.35599516667,"57.1"
"Mexico",1998,117152432749.324,37465529,21.0153555461506,4656.51,5832.69342004468,"57.9"
"Mexico",1999,131924953647.327,37828247,20.8990237565587,4873.62,6499.97182950425,"58.5"
"Mexico",2000,157542302950.286,38589713,21.2303615155367,5026.99,7524.02713693678,"59.3"
"Mexico",2001,156613261963.649,39008022,19.6734365278773,5434.53,7952.7647961764,"60.6"
"Mexico",2002,157009254079.191,39513494,19.3679309992637,5962.27,7983.03398483743,"63"
"Mexico",2003,153906481766.322,40580596,20.1040413113799,6705.18,7434.0746485155,"65.3"
"Mexico",2004,170291061811.54,41810127,20.780907227933,7301.35,7849.66759649565,"66"
"Mexico",2005,190032339740.566,43213356,20.7103497137228,8304.1,8671.75891885163,"65.2"
"Mexico",2006,221192935894.074,44671073,21.6799481845682,9437.14,9512.63575346699,"64.7"
"Mexico",2007,246430281880.113,45655255,22.3548818499295,9586.6,10134.3327138119,"66"
"Mexico",2008,273652400236.232,46418411,23.5591739620277,10353.88,10523.7685403244,"66.2"
"Mexico",2009,214862076778.919,47339853,22.7743858105637,10632.1,8423.56933214711,"65.8"
"Mexico",2010,249307402543.588,48189452,22.5530971556916,11244.42,9728.80078377082,"68.3"
"Mexico",2011,288474941933.822,49262430,23.4720687923852,11751.8,10664.4944032313,"67.8"
"Mexico",2012,297313159736.718,50764169,23.6882073368071,12602.76,10744.1335242686,"65.3"
"Mexico",2013,291905706408.209,51511392,21.9901857848145,13186.8,11216.8008505428,"67"
"Mexico",2014,295706657463.447,51907743,21.6713070689329,14167.62,11391.3773497683,"66.8"
"Mexico",2015,281049750802.406,52800736,23.1641829976586,14570.29,10021.2386118827,"66.4"
"Mexico",2016,263907643771.789,53498509,23.7277194380681,15194.65,9097.92397674769,"65.2"
"Mexico",2017,276551490007.38,54114274,23.2255397759544,16177.94,9649.27816772402,"63.6"
"Mexico",2018,289545442863.154,55142830,23.047472794237,17182.13,10084.7937562021,"64.8"
"Mexico",2019,282547311091.319,56614536,21.6659740050928,18991.67,10369.5553568761,"64.7"
"Mexico",2020,225418412688.159,52956486,20.1075280635861,20363.28,8841.27075003163,"66"
"Mexico",2021,280557432299.113,56864048,21.3097325546194,21753.88,10314.0506741437,"65.5"
"Mexico",2022,328917755690.64,58544385,22.4622621529637,21027.1,11385.4070757929,"63.7"
"Peru",1996,12286191582.1212,10071526,22.2364792118343,121.87,2226.91682429265,"62.5"
"Peru",1997,13664414414.4144,10563686,23.4995642490559,117.75,2300.67200774461,"63.8"
"Peru",1998,12850071687.0349,11039085,23.1526699715843,93.7,2156.39377651613,"65"
"Peru",1999,10658590633.7716,11549983,21.2376147275093,160.92,1916.53397367908,"69.2"
"Peru",2000,10178228602.5388,11421931,19.6700704381341,172.38,1945.41338451698,"68.7"
"Peru",2001,9348080157.35013,12219945,17.9666569877333,196.66,1929.57273038846,"69.6"
"Peru",2002,9164795178.66788,12684641,16.7309319065239,191.96,2007.37019626753,"64.8"
"Peru",2003,9937916762.47413,13141062,16.9210666692767,267.77,2129.44114197634,"64.6"
"Peru",2004,11209502607.0654,13588521,16.7885581415755,265.08,2397.25147277714,"64.7"
"Peru",2005,12977522977.523,14024578,17.062082002321,302.14,2706.66947297608,"61.3"
"Peru",2006,15766200451.9636,14840428,17.7861377815903,441.15,3129.55996496982,"60.5"
"Peru",2007,20419303291.7865,15475880,19.9854235156854,402.49,3581.0893081917,"62.7"
"Peru",2008,28240883147.0659,15688718,23.4265803656735,406.39,4197.58444634142,"63.8"
"Peru",2009,26748555872.784,15961805,22.1386315989042,491.52,4181.18755462253,"64.6"
"Peru",2010,34688730587.1422,16300474,23.5133786325771,553.93,5072.11494019615,"67.6"
"Peru",2011,40103845176.2826,16389689,23.3485326044448,596.78,5861.35793645245,"68.6"
"Peru",2012,48248284605.6963,16569598,25.0445259194971,641.35,6519.37852981527,"68.7"
