"Country","Index.Year","capi","art","capcorr","labor","gdp","Overall.Score"
"Colombia",2022,19.0338626376131,9683.4,65729614069.0848,25830229,6674.59601948063,"65.1"
"Guatemala",1996,13.3299391751292,42.21,2089446053.32283,3669416,1481.05986750672,"63.7"
"Guatemala",1997,15.1125539013878,30.84,2688527301.81242,3781378,1638.46281851789,"65.7"
"Guatemala",1998,16.6463005827635,29.89,3228631896.65958,3901813,1741.20114182856,"65.8"
"Guatemala",1999,17.8918289026652,29.73,3277498977.69894,4022629,1603.64776144934,"66.2"
"Guatemala",2000,16.125612543564,24.13,3110457959.18904,4138380,1648.96578971559,"64.3"
"Guatemala",2001,18.6019366750223,23.84,3423727415.3274,4251037,1537.68663578252,"65.1"
"Guatemala",2002,19.6197975058803,23.92,4011111817.12415,4376265,1669.33517469705,"62.3"
"Guatemala",2003,18.9615918933206,26.71,4091219773.5773,4505895,1722.54701910774,"62.3"
"Guatemala",2004,18.6402587083727,28.55,4394869361.2883,4644836,1840.91184884,"59.6"
"Guatemala",2005,18.5898915722087,46.75,4979003029.10265,4752203,2046.46611650758,"59.5"
"Guatemala",2006,20.4368364207337,36.47,6078783068.65084,4861711,2225.1234753878,"59.1"
"Guatemala",2007,19.9058846728475,32.06,6681977672.19962,4974966,2458.81573919384,"60.5"
"Guatemala",2008,18.2268454319826,36.23,7018013570.84921,5089817,2763.05988172926,"59.8"
"Guatemala",2009,15.377603213332,55.78,5709111768.5294,5205293,2611.64632773352,"59.4"
"Guatemala",2010,15.0488390141114,52,6121352803.39935,5323128,2805.25960237322,"61"
"Guatemala",2011,15.0459163364946,44.39,7052924685.61097,5569717,3168.98370607705,"61.9"
"Guatemala",2012,15.0269248908262,67.55,7452442534.43976,6083825,3286.61959336267,"60.9"
"Guatemala",2013,15.0905677104602,72.98,7997464608.42779,5790992,3444.15971843874,"60"
"Guatemala",2014,15.1717775824091,63.06,8777199988.6708,6005384,3689.14472473545,"61.2"
"Guatemala",2015,14.51658077124,85.69,9027290313.35179,6154180,3893.50521848131,"60.4"
"Guatemala",2016,13.8717170492479,91.55,9162741230.6181,6330012,4060.13755621218,"61.8"
"Guatemala",2017,13.6094293441422,105.53,9751667032.07525,6525645,4324.99607911366,"63"
"Guatemala",2018,13.695895256103,106.75,10042976181.5308,6638657,4352.94651790253,"63.4"
"Guatemala",2019,14.3792926330737,95.12,11096833330.345,6643821,4511.99755157656,"62.6"
"Guatemala",2020,13.7024604770989,123.82,10649478867.8586,6537776,4477.61761796418,"64"
"Guatemala",2021,16.1268614242265,124.03,13946321984.3639,6800730,4913.94712869347,"64"
"Guatemala",2022,16.7041754807998,121.38,15974290677.991,7234412,5358.08963795,"63.2"
"Mexico",1996,17.7149734982107,3945.12,76556665431.4892,35164335,4674.36792733681,"61.2"
"Mexico",1997,19.394799246083,4350.81,101521985588.107,36801588,5567.35599516667,"57.1"
"Mexico",1998,21.0153555461506,4656.51,117152432749.324,37465529,5832.69342004468,"57.9"
"Mexico",1999,20.8990237565587,4873.62,131924953647.327,37828247,6499.97182950425,"58.5"
"Mexico",2000,21.2303615155367,5026.99,157542302950.286,38589713,7524.02713693678,"59.3"
"Mexico",2001,19.6734365278773,5434.53,156613261963.649,39008022,7952.7647961764,"60.6"
"Mexico",2002,19.3679309992637,5962.27,157009254079.191,39513494,7983.03398483743,"63"
"Mexico",2003,20.1040413113799,6705.18,153906481766.322,40580596,7434.0746485155,"65.3"
"Mexico",2004,20.780907227933,7301.35,170291061811.54,41810127,7849.66759649565,"66"
"Mexico",2005,20.7103497137228,8304.1,190032339740.566,43213356,8671.75891885163,"65.2"
"Mexico",2006,21.6799481845682,9437.14,221192935894.074,44671073,9512.63575346699,"64.7"
"Mexico",2007,22.3548818499295,9586.6,246430281880.113,45655255,10134.3327138119,"66"
"Mexico",2008,23.5591739620277,10353.88,273652400236.232,46418411,10523.7685403244,"66.2"
"Mexico",2009,22.7743858105637,10632.1,214862076778.919,47339853,8423.56933214711,"65.8"
"Mexico",2010,22.5530971556916,11244.42,249307402543.588,48189452,9728.80078377082,"68.3"
"Mexico",2011,23.4720687923852,11751.8,288474941933.822,49262430,10664.4944032313,"67.8"
"Mexico",2012,23.6882073368071,12602.76,297313159736.718,50764169,10744.1335242686,"65.3"
"Mexico",2013,21.9901857848145,13186.8,291905706408.209,51511392,11216.8008505428,"67"
"Mexico",2014,21.6713070689329,14167.62,295706657463.447,51907743,11391.3773497683,"66.8"
"Mexico",2015,23.1641829976586,14570.29,281049750802.406,52800736,10021.2386118827,"66.4"
"Mexico",2016,23.7277194380681,15194.65,263907643771.789,53498509,9097.92397674769,"65.2"
"Mexico",2017,23.2255397759544,16177.94,276551490007.38,54114274,9649.27816772402,"63.6"
"Mexico",2018,23.047472794237,17182.13,289545442863.154,55142830,10084.7937562021,"64.8"
"Mexico",2019,21.6659740050928,18991.67,282547311091.319,56614536,10369.5553568761,"64.7"
"Mexico",2020,20.1075280635861,20363.28,225418412688.159,52956486,8841.27075003163,"66"
"Mexico",2021,21.3097325546194,21753.88,280557432299.113,56864048,10314.0506741437,"65.5"
"Mexico",2022,22.4622621529637,21027.1,328917755690.64,58544385,11385.4070757929,"63.7"
"Peru",1996,22.2364792118343,121.87,12286191582.1212,10071526,2226.91682429265,"62.5"
"Peru",1997,23.4995642490559,117.75,13664414414.4144,10563686,2300.67200774461,"63.8"
"Peru",1998,23.1526699715843,93.7,12850071687.0349,11039085,2156.39377651613,"65"
"Peru",1999,21.2376147275093,160.92,10658590633.7716,11549983,1916.53397367908,"69.2"
"Peru",2000,19.6700704381341,172.38,10178228602.5388,11421931,1945.41338451698,"68.7"
"Peru",2001,17.9666569877333,196.66,9348080157.35013,12219945,1929.57273038846,"69.6"
"Peru",2002,16.7309319065239,191.96,9164795178.66788,12684641,2007.37019626753,"64.8"
"Peru",2003,16.9210666692767,267.77,9937916762.47413,13141062,2129.44114197634,"64.6"
"Peru",2004,16.7885581415755,265.08,11209502607.0654,13588521,2397.25147277714,"64.7"
"Peru",2005,17.062082002321,302.14,12977522977.523,14024578,2706.66947297608,"61.3"
"Peru",2006,17.7861377815903,441.15,15766200451.9636,14840428,3129.55996496982,"60.5"
"Peru",2007,19.9854235156854,402.49,20419303291.7865,15475880,3581.0893081917,"62.7"
"Peru",2008,23.4265803656735,406.39,28240883147.0659,15688718,4197.58444634142,"63.8"
"Peru",2009,22.1386315989042,491.52,26748555872.784,15961805,4181.18755462253,"64.6"
"Peru",2010,23.5133786325771,553.93,34688730587.1422,16300474,5072.11494019615,"67.6"
"Peru",2011,23.3485326044448,596.78,40103845176.2826,16389689,5861.35793645245,"68.6"
"Peru",2012,25.0445259194971,641.35,48248284605.6963,16569598,6519.37852981527,"68.7"
"Peru",2013,25.3007969740008,667.12,50899015840.3404,16673246,6746.80025696601,"68.2"
"Peru",2014,24.5405155067793,745.61,49273980959.7879,16746275,6667.13410360861,"67.4"
"Peru",2015,23.0885681385006,899.29,43822789508.6073,16759049,6231.71150338894,"67.7"
"Peru",2016,21.4469450397426,1071.41,41156280980.9124,16939632,6217.03599995447,"67.4"
"Peru",2017,20.607596923788,1389.87,43483674836.4049,17644346,6736.16693725487,"68.9"
"Peru",2018,20.9232518849407,1700.86,46574533036.0862,18124121,6978.49121548627,"68.7"
"Peru",2019,20.9715689568285,2332.04,47887740109.2188,18599717,7037.00803692604,"67.8"
"Peru",2020,19.9414702059197,2892.98,40164054271.5886,16861243,6133.32552410183,"67.9"
"Peru",2021,23.0876158382477,4064.96,52259806202.9288,17853296,6826.9720069846,"67.7"
"Peru",2022,23.2414323478916,4584.96,57287517851.1783,18756175,7363.27206939639,"66.5"
